Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.01,0.61,0.5944389144286246
100% Corpus,8,0.01,0.9099999999999999,0.5504398748492003
100% Corpus,8,0.01,symmetric,0.5914265476045969
100% Corpus,8,0.31,0.01,0.5321196417157792
100% Corpus,8,0.31,0.31,0.5185962415965797
100% Corpus,8,0.31,0.61,0.5151389309510732
100% Corpus,8,0.31,0.9099999999999999,0.5059144472106144
100% Corpus,8,0.31,symmetric,0.5452170216337437
100% Corpus,8,0.61,0.01,0.5840997621367348
100% Corpus,8,0.61,0.31,0.569584437773397
100% Corpus,8,0.61,0.61,0.5198746682869828
100% Corpus,8,0.61,0.9099999999999999,0.499285048819075
100% Corpus,8,0.61,symmetric,0.5644190818790555
100% Corpus,8,0.9099999999999999,0.01,0.6004782567337195
100% Corpus,8,0.9099999999999999,0.31,0.5785235461602916
100% Corpus,8,0.9099999999999999,0.61,0.552414307345807
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4994940292086072
100% Corpus,8,0.9099999999999999,symmetric,0.5864289815587382
100% Corpus,8,symmetric,0.01,0.5989217732981256
100% Corpus,8,symmetric,0.31,0.5517319780415053
100% Corpus,8,symmetric,0.61,0.5382154166980481
100% Corpus,8,symmetric,0.9099999999999999,0.558673283443408
100% Corpus,8,symmetric,symmetric,0.555804456598738
100% Corpus,8,asymmetric,0.01,0.6212563712326327
100% Corpus,8,asymmetric,0.31,0.5228586677521249
100% Corpus,8,asymmetric,0.61,0.6328895896001023
100% Corpus,8,asymmetric,0.9099999999999999,0.6164475701153657
100% Corpus,8,asymmetric,symmetric,0.596302225207398
100% Corpus,9,0.01,0.01,0.6028837043109123
100% Corpus,9,0.01,0.31,0.528163678908439
100% Corpus,9,0.01,0.61,0.5943553898368324
100% Corpus,9,0.01,0.9099999999999999,0.6155828149081225
100% Corpus,9,0.01,symmetric,0.5557704568693811
100% Corpus,9,0.31,0.01,0.5617505049214313
100% Corpus,9,0.31,0.31,0.526210236261103
100% Corpus,9,0.31,0.61,0.5381906604914106
100% Corpus,9,0.31,0.9099999999999999,0.5287925947289014
100% Corpus,9,0.31,symmetric,0.5412222430599889
100% Corpus,9,0.61,0.01,0.5968694779610122
100% Corpus,9,0.61,0.31,0.5607444439315942
100% Corpus,9,0.61,0.61,0.5025201932194678
100% Corpus,9,0.61,0.9099999999999999,0.5187419702300323
100% Corpus,9,0.61,symmetric,0.5454039573402576
100% Corpus,9,0.9099999999999999,0.01,0.5587035774664777
100% Corpus,9,0.9099999999999999,0.31,0.5637706712001495
100% Corpus,9,0.9099999999999999,0.61,0.5475026661728558
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.5323390876625036
100% Corpus,9,0.9099999999999999,symmetric,0.5877595827832394
100% Corpus,9,symmetric,0.01,0.5831592042859184
100% Corpus,9,symmetric,0.31,0.5502868267472084
100% Corpus,9,symmetric,0.61,0.5460033549076401
100% Corpus,9,symmetric,0.9099999999999999,0.594515940653817
100% Corpus,9,symmetric,symmetric,0.5860231202005192
100% Corpus,9,asymmetric,0.01,0.59274629532135
100% Corpus,9,asymmetric,0.31,0.5952166432508212
100% Corpus,9,asymmetric,0.61,0.6438184401920237
100% Corpus,9,asymmetric,0.9099999999999999,0.5847879183104205
100% Corpus,9,asymmetric,symmetric,0.6033020568327685
100% Corpus,10,0.01,0.01,0.5606332247801336
100% Corpus,10,0.01,0.31,0.5298185888094935
100% Corpus,10,0.01,0.61,0.557674310721812
100% Corpus,10,0.01,0.9099999999999999,0.5687846554638523
100% Corpus,10,0.01,symmetric,0.5426104671533949
100% Corpus,10,0.31,0.01,0.5329394777052519
100% Corpus,10,0.31,0.31,0.49162330692937495
100% Corpus,10,0.31,0.61,0.5064135991565724
100% Corpus,10,0.31,0.9099999999999999,0.5601262025587305
100% Corpus,10,0.31,symmetric,0.529645174000297
100% Corpus,10,0.61,0.01,0.5785481280591236
100% Corpus,10,0.61,0.31,0.5410670053493465
100% Corpus,10,0.61,0.61,0.5160588764581424
100% Corpus,10,0.61,0.9099999999999999,0.5274973024386507
100% Corpus,10,0.61,symmetric,0.5602126496831539
100% Corpus,10,0.9099999999999999,0.01,0.5546296318994333
100% Corpus,10,0.9099999999999999,0.31,0.5622940043461877
100% Corpus,10,0.9099999999999999,0.61,0.5378430998660453
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.5296259924522831
100% Corpus,10,0.9099999999999999,symmetric,0.5794137658010825
100% Corpus,10,symmetric,0.01,0.5654448950824544
100% Corpus,10,symmetric,0.31,0.5294490184546126
100% Corpus,10,symmetric,0.61,0.5582027700501474
100% Corpus,10,symmetric,0.9099999999999999,0.5469014268821926
100% Corpus,10,symmetric,symmetric,0.5410532786857939
100% Corpus,10,asymmetric,0.01,0.5780350691606457
100% Corpus,10,asymmetric,0.31,0.5441620609919819
100% Corpus,10,asymmetric,0.61,0.6221510856729238
100% Corpus,10,asymmetric,0.9099999999999999,0.6356613293337057
100% Corpus,10,asymmetric,symmetric,0.5585117487910318
