Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
100% Corpus,9,0.01,0.9099999999999999,0.5731413003379369,-7.582291913310967
100% Corpus,9,0.01,symmetric,0.5386710846467039,-8.035803832300209
100% Corpus,9,0.31,0.01,0.5684828522362839,-22.740254757672155
100% Corpus,9,0.31,0.31,0.5122023720757861,-7.5418991587750766
100% Corpus,9,0.31,0.61,0.5152618921171516,-7.609698940469319
100% Corpus,9,0.31,0.9099999999999999,0.5502557486336693,-7.693961934703807
100% Corpus,9,0.31,symmetric,0.552043080351121,-7.618453621992614
100% Corpus,9,0.61,0.01,0.6012789957205347,-21.153586715009776
100% Corpus,9,0.61,0.31,0.5446634419383908,-7.493386230883173
100% Corpus,9,0.61,0.61,0.5345865785389932,-7.605567564782339
100% Corpus,9,0.61,0.9099999999999999,0.5120725186994972,-7.712162230060009
100% Corpus,9,0.61,symmetric,0.5885241999441381,-7.546038042547854
100% Corpus,9,0.9099999999999999,0.01,0.582460301920864,-22.232566365727326
100% Corpus,9,0.9099999999999999,0.31,0.5771885142837174,-7.471353391578912
100% Corpus,9,0.9099999999999999,0.61,0.5395242260283942,-7.624972257014528
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.49152038230836187,-7.719970416328931
100% Corpus,9,0.9099999999999999,symmetric,0.5948264834391137,-7.527161637433742
100% Corpus,9,symmetric,0.01,0.5648133317808299,-21.2012604874722
100% Corpus,9,symmetric,0.31,0.5072935281095489,-7.5161676360586585
100% Corpus,9,symmetric,0.61,0.5622180645280335,-7.557014501372824
100% Corpus,9,symmetric,0.9099999999999999,0.588898908566345,-7.6236346697175135
100% Corpus,9,symmetric,symmetric,0.5457554997024984,-7.698130505297615
100% Corpus,9,asymmetric,0.01,0.5820995030074401,-21.20106152458298
100% Corpus,9,asymmetric,0.31,0.5558029220829425,-7.449134147797704
100% Corpus,9,asymmetric,0.61,0.6448341028171122,-7.462570469203253
100% Corpus,9,asymmetric,0.9099999999999999,0.6605483711957368,-7.5113555098634315
100% Corpus,9,asymmetric,symmetric,0.4869616284907943,-7.608666563501802
100% Corpus,10,0.01,0.01,0.5816670614208374,-21.852126921669317
100% Corpus,10,0.01,0.31,0.5218177927011703,-7.711025894708912
100% Corpus,10,0.01,0.61,0.5934430691904284,-7.589868810834387
100% Corpus,10,0.01,0.9099999999999999,0.5973363654538503,-7.614831432962567
100% Corpus,10,0.01,symmetric,0.5623222073386963,-8.252356691234255
100% Corpus,10,0.31,0.01,0.5644876142908937,-22.2007704384134
100% Corpus,10,0.31,0.31,0.530173082137871,-7.589121427550921
100% Corpus,10,0.31,0.61,0.5025005200658231,-7.649616521715504
100% Corpus,10,0.31,0.9099999999999999,0.5736698011702301,-7.731965593278903
100% Corpus,10,0.31,symmetric,0.5405032239350683,-7.805982982374825
100% Corpus,10,0.61,0.01,0.5836229269060811,-21.191060782674796
100% Corpus,10,0.61,0.31,0.5386269845294417,-7.50612496398987
100% Corpus,10,0.61,0.61,0.5178421787612357,-7.649337137611036
100% Corpus,10,0.61,0.9099999999999999,0.5078908584699189,-7.7728828442661415
100% Corpus,10,0.61,symmetric,0.5852431401534302,-7.710822107931271
100% Corpus,10,0.9099999999999999,0.01,0.5561037299575642,-23.625931287755364
100% Corpus,10,0.9099999999999999,0.31,0.5557316142502862,-7.496657767315596
100% Corpus,10,0.9099999999999999,0.61,0.503594679877539,-7.645548231149539
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.4756625184630461,-7.775335973146008
100% Corpus,10,0.9099999999999999,symmetric,0.5603399292214059,-7.683496566595163
100% Corpus,10,symmetric,0.01,0.558937870617758,-21.208354011965877
100% Corpus,10,symmetric,0.31,0.5288045807089035,-7.568167188179392
100% Corpus,10,symmetric,0.61,0.534828169460165,-7.580427235098735
100% Corpus,10,symmetric,0.9099999999999999,0.6093645181123208,-7.6562484623466815
100% Corpus,10,symmetric,symmetric,0.5451772554136003,-7.84466021958709
100% Corpus,10,asymmetric,0.01,0.547910278348284,-21.22580249387383
100% Corpus,10,asymmetric,0.31,0.5271687688274137,-7.496396571835874
100% Corpus,10,asymmetric,0.61,0.6582251285575373,-7.502259013133578
100% Corpus,10,asymmetric,0.9099999999999999,0.5821530417095622,-7.538508552201021
100% Corpus,10,asymmetric,symmetric,0.5269614323178811,-7.81759390537388
