id;Youtube_id;replyCount;likeCount;publishedAt;authorName;text;authorChannelId;authorChannelUrl;isReply;isReplyTo;isReplyToName
207;Ugi5yO7jF2vPc3gCoAEC.8O7ow3n08Fs8TRRRaAYkbZ;;0;05.06.17 20:18;Wolf79FilmmakingOfficial;Maksim Bryksin stopping meat industry will destroy lots of it;UCCmbCVS9DwUjLB9GbkRqCkg;http://www.youtube.com/channel/UCCmbCVS9DwUjLB9GbkRqCkg;1;Ugi5yO7jF2vPc3gCoAEC;MaxHorsePower
211;UggqVzfR5E7JA3gCoAEC.8O7TDMptKgr8UCE_Opxc3M;;0;24.06.17 19:08;Haris Guhdija;ambition we're going to need a bigger boat;UC-YKqyHB4fcTn-bDzJytnDw;http://www.youtube.com/channel/UC-YKqyHB4fcTn-bDzJytnDw;1;UggqVzfR5E7JA3gCoAEC;PlayTrailers
217;UgjQ4T0QBlYNaXgCoAEC.8O7UIamAYUp8UVPlovoyyk;;0;02.07.17 05:52;Ethan Deitz;The US isn't the biggest polluter, China is. I thought that was painfully obvious. We don't have smog floating across the Atlantic to Europe, but some of China's smog has been found in california, across an ocean twice as large.;UC6RbveC0wb-C2c_LvB4guBg;http://www.youtube.com/channel/UC6RbveC0wb-C2c_LvB4guBg;1;UgjQ4T0QBlYNaXgCoAEC;ProgressivePepe
226;Ugh2h2A74vR7j3gCoAEC.8UjakbqaQ2L8UqaR-R8ODE;;0;10.07.17 20:37;Coolrh13;777MoFo within about 50 years unless we pull ourselves together (although if we fix it there are still some effects that we can't stop) however it'll be slow and not instant.;UCj0dzN1iwzUWCAx12d8Nc5Q;http://www.youtube.com/channel/UCj0dzN1iwzUWCAx12d8Nc5Q;1;Ugh2h2A74vR7j3gCoAEC;777MoFo
232;UggqVzfR5E7JA3gCoAEC.8O7TDMptKgr8VcA818lY_k;;1;30.07.17 02:40;Tasmar;We will have sharknado type water spouts. A lot of people will be eaten by sharks. Orcas will patrol the streets.;UCxd-I0Ktz9o68xXAzt62AUw;http://www.youtube.com/channel/UCxd-I0Ktz9o68xXAzt62AUw;1;UggqVzfR5E7JA3gCoAEC;PlayTrailers
233;UgiQJqaYEe00W3gCoAEC.8O7VvG5IJzS8VcC8hrTcjy;;3;30.07.17 02:58;Tasmar;We will become a nation of Gondoliers, no problem. Scuba diving will become a big thing, no problem.;UCxd-I0Ktz9o68xXAzt62AUw;http://www.youtube.com/channel/UCxd-I0Ktz9o68xXAzt62AUw;1;UgiQJqaYEe00W3gCoAEC;Mister Mood
243;UggdKPeI8kFbL3gCoAEC.8O7WId6TDau8W4qTO5xD7V;;10;10.08.17 15:17;Thomas Pate;rising seas? just drink the water lmao;UC7YPkTWmJpmbIHF0o1431kg;http://www.youtube.com/channel/UC7YPkTWmJpmbIHF0o1431kg;1;UggdKPeI8kFbL3gCoAEC;The Alternative Facts Coterie
247;UgjQ4T0QBlYNaXgCoAEC.8O7UIamAYUp8WGLl1tUZ5b;;0;15.08.17 02:31;Cole Park;Climate science denial and inaction runs deeper than the trump administration, it has been going on for decades. Even while famine starves hundreds of millions, billions are turned in to refugees, and the worlds great cities are swallowed, we will still see a small faction deny climate science.;UCO7rTsUq9vjjnGV8GrFtOTA;http://www.youtube.com/channel/UCO7rTsUq9vjjnGV8GrFtOTA;1;UgjQ4T0QBlYNaXgCoAEC;ProgressivePepe
248;Ugh1AMgwgzeQo3gCoAEC.8OLeRyyR7W78WGM9GXRJrw;;0;15.08.17 02:34;Cole Park;Hundreds of millions will be displaced, no one will be unaffected lol;UCO7rTsUq9vjjnGV8GrFtOTA;http://www.youtube.com/channel/UCO7rTsUq9vjjnGV8GrFtOTA;1;Ugh1AMgwgzeQo3gCoAEC;DrK
249;UgiQJqaYEe00W3gCoAEC.8O7VvG5IJzS8WJ-4CL_VUU;;0;16.08.17 03:10;Mars Project X;Mister Mood We have always loved boats. Have you seen the olympics?;UCW0vuHr-r_Ouv7NVeawMOUA;http://www.youtube.com/channel/UCW0vuHr-r_Ouv7NVeawMOUA;1;UgiQJqaYEe00W3gCoAEC;Mister Mood
252;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8WSfcsrcN15;;7;19.08.17 21:24;SuperThunderGamer STG;Big-Bonkin-Head I hate Trump he's so stupid!;UCNrXngTy7SQf0tDWQ88qefQ;http://www.youtube.com/channel/UCNrXngTy7SQf0tDWQ88qefQ;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
253;UgjQ4T0QBlYNaXgCoAEC.8O7UIamAYUp8WTcLByXrti;;0;20.08.17 06:14;Grenherb;yeah trump caused all of this in 8 months daaaaaaaaaaaa.;UCHqQv7gjoocyfDIKRNkZxdg;http://www.youtube.com/channel/UCHqQv7gjoocyfDIKRNkZxdg;1;UgjQ4T0QBlYNaXgCoAEC;ProgressivePepe
256;UgxLmqxvp00x_S62pyx4AaABAg.8WU2w5cPTEm8WU30DbB1tu;;0;20.08.17 10:16;B. Eder;Actually 30 Years!;UC-x0Ylny_FFgZFBpP46U_Mg;http://www.youtube.com/channel/UC-x0Ylny_FFgZFBpP46U_Mg;1;UgxLmqxvp00x_S62pyx4AaABAg;B. Eder
260;UghKPkDQx1CiFHgCoAEC.8O7UW7Ky5838W_l_OhcFWo;;0;23.08.17 00:50;boh non so;Chairman we could buy time FOR science To develop either in planet colonisation or in particles that mai remove greenhouse gasses;UCFi8qkW1c1eVfRnJUghAL1A;http://www.youtube.com/channel/UCFi8qkW1c1eVfRnJUghAL1A;1;UghKPkDQx1CiFHgCoAEC;Chairman
263;UgjxeT4teJZJg3gCoAEC.8O7aa-pKITQ8WmVrA8qfn8;;0;27.08.17 23:34;Herecomesdatboi _;RvngeOG I wouldn't mind if humans got extinct to be honest. I lost faith in humanity a while ago;UCyAAJKtAcNvJZ83K3_0ofXA;http://www.youtube.com/channel/UCyAAJKtAcNvJZ83K3_0ofXA;1;UgjxeT4teJZJg3gCoAEC;RvngeOG
264;UghIHpU8kBAG6XgCoAEC.8OCAlc0D7lj8WrVL-zH93r;;1;29.08.17 22:06;Sports Guy Chat;David Schultz was it a politician on the left coast....;UCytMk34VEYCIB4ReaTVuJ4A;http://www.youtube.com/channel/UCytMk34VEYCIB4ReaTVuJ4A;1;UghIHpU8kBAG6XgCoAEC;David Schultz
265;UgjQ4T0QBlYNaXgCoAEC.8O7UIamAYUp8WrVr_q6Ys9;;0;29.08.17 22:10;Sports Guy Chat;ProgressivePepe this is a political message...... the green side wants to make money, ..... not going to happen, this could happen in 200 years. Why build a city by the water..... they do that to have cooler climate.... u are not suppose to build cities by the water.... hurricanes happen every year.... and cities flood....;UCytMk34VEYCIB4ReaTVuJ4A;http://www.youtube.com/channel/UCytMk34VEYCIB4ReaTVuJ4A;1;UgjQ4T0QBlYNaXgCoAEC;ProgressivePepe
269;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8X2TqD_UNrn;;2;03.09.17 13:43;Deschutes Maple;@BBHead - meanwhile Miami continues to go underwater. Oh yeah it's just a theory LOL;UCb7SUdawhBFxTKgIE3cylpA;http://www.youtube.com/channel/UCb7SUdawhBFxTKgIE3cylpA;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
276;UghEaurk6oEjangCoAEC.8R9Lij06BPz8XJIrAMOTJT;;0;10.09.17 02:34;Kcirtap S.;It's submerged by then. Not really. It'd take a long time since the Netherlands has a really advanced system. But it would still be catastrophic when theres a sidden increase.;UCfic4TJLZ9I31OwxChyRcww;http://www.youtube.com/channel/UCfic4TJLZ9I31OwxChyRcww;1;UghEaurk6oEjangCoAEC;??? ???
279;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8XM9_XYONW-;;0;11.09.17 05:11;robert hicks;IF they cant disprove it, neither can you prove it.;UC0TPdvG3xiLwzMJbdJzNw5g;http://www.youtube.com/channel/UC0TPdvG3xiLwzMJbdJzNw5g;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
280;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8XM9t6qoJrS;;2;11.09.17 05:14;robert hicks;150 years ago, there was a glaciation which caused the glaciers to expand. When the sunspots returned, the glaciation ended and the glaciers melted. THIS is what caused the sea level to rise at a steady rate. A few years ago, the people of florida got it in to their heads to drain a swamp without realizing that it was keeping the aquafer full. As soon as they drained the swamp, the water fell and the sand began to settle. Combined, this means Miami is sinking into the water that were never very far from the buildings.;UC0TPdvG3xiLwzMJbdJzNw5g;http://www.youtube.com/channel/UC0TPdvG3xiLwzMJbdJzNw5g;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
281;UggvSDB_bpcqEHgCoAEC.8O8cPWel4Fb8XM9xONEm-V;;0;11.09.17 05:14;robert hicks;Oh, yea, we have been talking about the SCAM of climate change for decades.;UC0TPdvG3xiLwzMJbdJzNw5g;http://www.youtube.com/channel/UC0TPdvG3xiLwzMJbdJzNw5g;1;UggvSDB_bpcqEHgCoAEC;Drew Ciccotelli
282;UgjQ4T0QBlYNaXgCoAEC.8O7UIamAYUp8XMA4XzXKGo;;0;11.09.17 05:16;robert hicks;This will happen no matter what happens, .... in about 3 million years.;UC0TPdvG3xiLwzMJbdJzNw5g;http://www.youtube.com/channel/UC0TPdvG3xiLwzMJbdJzNw5g;1;UgjQ4T0QBlYNaXgCoAEC;ProgressivePepe
284;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8Xa8N7_9ub_;;0;17.09.17 00:49;J M;robert hicks explain the massive uptrend in global temperature?;UCbrNd2hV4ZBnXO75xaJ6OcA;http://www.youtube.com/channel/UCbrNd2hV4ZBnXO75xaJ6OcA;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
285;Ughnf6DJ12q4LXgCoAEC.8ROen-pWySb8Xfv0ZGoSRA;;1;19.09.17 06:39;Judy Buchman;In case anyone is Interested !!!!!Hugs hugs hugs;UCl-R98sGHDx4nj4aGvAnbNA;http://www.youtube.com/channel/UCl-R98sGHDx4nj4aGvAnbNA;1;Ughnf6DJ12q4LXgCoAEC;Homie Cat
286;Ughnf6DJ12q4LXgCoAEC.8ROen-pWySb8XfvBcHNrpB;;0;19.09.17 06:41;Judy Buchman;Hiya Interested read huggggs;UCl-R98sGHDx4nj4aGvAnbNA;http://www.youtube.com/channel/UCl-R98sGHDx4nj4aGvAnbNA;1;Ughnf6DJ12q4LXgCoAEC;Homie Cat
288;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8Xoe9Bq-DcG;;0;22.09.17 16:05;KingNMPS;Big-Bonkin-Head the burden of proof is on the one making the claim. YOU have to prove it to your friends.;UCmKUFpEdo3zSAIP69iTyqzw;http://www.youtube.com/channel/UCmKUFpEdo3zSAIP69iTyqzw;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
289;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8XoibAAt90I;;0;22.09.17 16:44;robert hicks;Simple. there is a 60 year cycle of warming and cooling that has been measured around the world for over 170 years. Starting in 1850 to 1880 there was a warming period. This was followed by a cooling period from 1880 to 1910. Then the earth warmed from 1910 to 1940. Then there was a cooling from 1940 to 1970. That was followed by the warming from 1970 to 2000. It has been cooling (slightly) since 2000, and will continue until 2030. There is also a 30 year cycle and a 24 year cycle. When these join with the 60 year cycle you see a strong effect. When they are in opposition, they can reduce the effect. As an example, the 30 year is in a warming period right now, so it is decreasing the effects of the 60 year cycle. I'm not quite sure where the 24 year cycle is, but if it is contrary to the 60, it could explain why the temperature isn't falling.;UC0TPdvG3xiLwzMJbdJzNw5g;http://www.youtube.com/channel/UC0TPdvG3xiLwzMJbdJzNw5g;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
290;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8XpGeHmkk1E;;0;22.09.17 21:50;KingNMPS;robert hicks exactly, that's why I want evidence that humans have had an impact on the cycle.;UCmKUFpEdo3zSAIP69iTyqzw;http://www.youtube.com/channel/UCmKUFpEdo3zSAIP69iTyqzw;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
291;UghqO46jj5F9I3gCoAEC.8O7gxea-nOJ8XpHbgbqYET;;1;22.09.17 21:59;robert hicks;I fear you will be waiting a long time before any definitive evidence can be found. So far all they have is faked data change and models that constantly fail. I should noted that I do not believe we are not affecting it in some manner, just not with co2 and to the extreme they believe. We have created heat islands and it is a proven fact that many of our highways caused micro weather events. Our using fossil fuels has increased local weather around sea lanes as well, causing changes in weather patterns. Agriculture has pump billions of tons of water out of the ground and lots of it has ended up in the atmosphere, causing changes in local weather patterns. As a kid on farms I was able to witness the effects of burning crops, and watch as they caused clouds to form. Man has affected the weather and there is no denying that. BUT we are not big enough to affect the climate to the degree the alarmist insist. Certainly not to the point where we could justify destroying the American economy like the ipcc wants.;UC0TPdvG3xiLwzMJbdJzNw5g;http://www.youtube.com/channel/UC0TPdvG3xiLwzMJbdJzNw5g;1;UghqO46jj5F9I3gCoAEC;Big-Bonkin-Head
294;UggqVzfR5E7JA3gCoAEC.8O7TDMptKgr8XuBTC5iGcM;;0;24.09.17 19:41;butterscotchs;Thomas Jackson because we have to evolved to be able to breathe underwater and plus it will cost way too much;UCbVUVBVpOAOhy9GjHXJY5-g;http://www.youtube.com/channel/UCbVUVBVpOAOhy9GjHXJY5-g;1;UggqVzfR5E7JA3gCoAEC;PlayTrailers
295;UggTCzZ7tAFlC3gCoAEC.8USLwGrITk38Xx736dwHHT;;0;25.09.17 23:00;Mordalo;Gameathon I don't do this often, however, you are one out to lunch, hating idiot. I actually follow real science and data, not the created BS from Gore or Mann. How many times do you people have to shown that it is all contrived?! And what the hell does Trump have to do with anything if, as you claim, this happens over centuries.;UCbsjNixnng5bRLVzsYgW-aQ;http://www.youtube.com/channel/UCbsjNixnng5bRLVzsYgW-aQ;1;UggTCzZ7tAFlC3gCoAEC;Mordalo
296;UggTCzZ7tAFlC3gCoAEC.8USLwGrITk38XxA4F84ca8;;0;25.09.17 23:27;Mordalo;Gameathon From MIT: https://www.technologyreview.com/s/403256/global-warming-bombshell/ From the UK: http://www.telegraph.co.uk/comment/columnists/christopherbooker/6679082/Climate-change-this-is-the-worst-scientific-scandal-of-our-generation.html Start there. You can move on to Australia as they now have proven that their government has doctored data as well. Also, look up Dr. Lindzen, Dr. Christie and so on.;UCbsjNixnng5bRLVzsYgW-aQ;http://www.youtube.com/channel/UCbsjNixnng5bRLVzsYgW-aQ;1;UggTCzZ7tAFlC3gCoAEC;Mordalo
